Team,Selected,Games,3rdDownConvPct,3rdDownConvPctDef,4thDownConvPct,4thDownConvPctDef,CompPct,PenPerGame,PenYardsPerGame,OppFDPerGame,FDPerGame,NetYdsPunt,PassYdsPerAtt,PassYdsPerComp,PassYdsPerGame,PassYdsPerAttDef,PassYdsPerCompDef,PassYdsPerGameDef,AvgPuntReturnYds,OppRZScorePct,OppPointsPerRZAtt,RZScorePct,PointsPerRZAtt,RushYdsPerRushDef,RushYdsPerGameDef,RushYdsPerRush,RushYdsPerGame,SacksAllowed,PPGDef,PPG,TFLAllowed,Sacks,TFLPG,AvgTOP,YdsPerPlayDef,YdsPerGameDef,YdsPerPlay,YdsPerGame,AvgTurnoverMargin,WinPct,Conference,Win.%.vs.Rank,AvgPointDifferential,Conf.Champ,Yrs.Since.Last.Selected,Year
Boston College (ACC),0,11,0.442,0.404,0.643,0.812,0.621,7.64,65.91,22.36,21.82,39.3,8.02,12.92,284.2,7.71,12.5,245.5,4.58,0.857,4.43,0.843,4,4.71,171.4,3.1,101.7,2.55,28.4,27.8,6.36,2.27,4.8,31,6.11,416.8,5.65,385.9,0.64,0.545,ACC,0.001,-0.6,0,5,2020
Clemson (ACC),1,11,0.467,0.304,0.769,0.368,0.663,5.64,50.73,15.09,24.73,37.58,8.56,12.91,343.8,6.94,13.01,198.6,9.46,0.769,3.92,0.875,4.71,2.79,99.8,4.63,163.8,1.64,17.5,44.9,5.45,4,9.4,30.87,4.63,298.5,6.72,507.6,0.82,0.909,ACC,0.667,27.4,1,0,2020
Duke (ACC),0,11,0.387,0.413,0.478,0.667,0.563,5.64,51.09,22.45,21.64,41.19,6.26,11.13,222.6,7.94,13.85,231.6,9.44,0.841,4.57,0.8,3.94,5.08,213.2,3.94,156.7,3.36,38.1,24.8,7.36,2.82,6.6,28.57,6.25,444.8,5.03,379.4,-1.73,0.182,ACC,0.001,-13.3,0,5,2020
Florida St. (ACC),0,9,0.356,0.465,0.536,0.462,0.545,8.89,77.78,23.89,20.56,41.34,6.07,11.14,196.8,8.12,12.24,257.1,5.44,0.833,4.5,0.742,4.06,5.12,199.2,5.11,199.9,3.22,36,25.8,7.33,1.11,5.3,30.55,6.47,456.3,5.54,396.7,-0.33,0.333,ACC,0.333,-10.2,0,5,2020
Georgia Tech (ACC),0,10,0.411,0.467,0.36,0.478,0.537,8.9,74.9,24.1,19.9,44.62,7.04,13.1,199.1,7.59,12.92,270.1,4.06,0.854,4.38,0.667,3.7,4.42,189.2,4.68,190.8,2.3,36.8,23.9,7.2,2.1,6.2,27.08,5.86,459.3,5.64,389.9,-0.7,0.3,ACC,0.001,-12.9,0,5,2020
Louisville (ACC),0,11,0.448,0.396,0.542,0.4,0.641,6.27,52.45,18.18,20.91,36.59,8.53,13.3,244.2,7.2,13.43,189.2,3.14,0.829,4.32,0.886,4.64,4.77,179.9,5.24,200,2.73,26.6,29.5,8.45,2,5.7,31.5,5.77,369.1,6.65,444.2,-1.09,0.364,ACC,0.001,2.9,0,5,2020
Miami (FL) (ACC),0,10,0.418,0.381,0.714,0.529,0.628,7.8,69.9,22.9,22.5,44.98,8.09,12.89,269.4,6.65,10.6,226.8,2.21,0.829,4.17,0.897,4.46,4.77,180.6,4.16,163.2,2.9,26,34,8.2,2.8,8.6,27.85,5.66,407.4,5.97,432.6,0.6,0.8,ACC,0.333,8,0,5,2020
NC State (ACC),0,11,0.443,0.376,0.6,0.536,0.623,8.09,76.91,24,22.55,37.42,7.99,12.83,262.4,7,11.97,254.6,11.73,0.796,4.04,0.83,4.47,4.08,163.5,3.49,129.1,2.64,29.7,31.1,6.64,2.91,7.7,28.95,5.47,418.2,5.61,391.5,-0.27,0.727,ACC,0.4,1.4,0,5,2020
North Carolina (ACC),0,11,0.476,0.379,0.625,0.5,0.693,7.27,70.55,21.64,27.18,39,10.38,14.97,307.5,7.39,12.75,248,8.47,0.85,4.43,0.887,4.92,4.08,147.8,5.98,249.1,2.73,28.4,43,6,3,5.9,31.13,5.67,395.8,7.81,556.6,-0.09,0.727,ACC,0.75,14.6,0,5,2020
Notre Dame (ACC),1,11,0.493,0.294,0.615,0.444,0.634,4.55,39.18,16.91,24.27,41.18,8.17,12.87,237.5,6.9,12.35,224.5,9.14,0.857,4.07,0.786,4.13,3.7,110.5,5.12,217.6,2.18,18.6,35.2,5.73,2.73,7.8,33.95,5.37,335.1,6.35,455.2,0.64,0.909,ACC,0.667,16.6,0,1,2020
